ID,3.5mm jack,Battery,Clock Speed,Card slot,GPS Support,GPU,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
92,No,800,,No,No,,1 MB,,Samsung E1080T,,About 30 EUR,,"128 x 128 pixels, 1:1 ratio (~127 ppi density)",Mini-SIM,,,64.5 g (2.26 oz)
93,Yes,3000,Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB",Yes,Adreno 506,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,Motorola Moto G5S Plus,"Android 7.1 (Nougat), planned upgrade to Android 8.0 (Oreo)",About 210 EUR,"Dual: 13 MP, f/2.0, autofocus, dual-LED dual-tone flash, check quality","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","8 MP, f/2.0, LED flash","Fingerprint (front-mounted), accelerometer, gyro, proximity",168 g (5.93 oz)
94,Yes,1230,1.0 GHz Scorpion,No,Yes,Adreno 200,"16 GB, 576 MB RAM, 512 MB ROM",,HTC HD7S,Microsoft Windows Phone 7,About 120 EUR,"5 MP, autofocus, dual-LED flash","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Mini-SIM,No,"Accelerometer, proximity, compass",162 g (5.71 oz)
95,No,830,,No,No,,,,Nokia 8310,,,,5 lines,Mini-SIM,,,84 g (2.96 oz)
96,No,1300,,"microSD, up to 32 GB (dedicated slot)",Yes,,"128 MB RAM, 256 MB ROM",,Samsung Convoy 2,,About 100 EUR,"3.15 MP, LED flash","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,No,,111 g (4.09 oz)
97,Yes,800,,"microSD, up to 8 GB (dedicated slot)",No,,"1 GB ROM, 256 MB RAM",,BLU Deco XT,,About 70 EUR,2 MP,"320 x 240 pixels, 4:3 ratio (~173 ppi density)",Mini-SIM,No,,75 g (2.65 oz)
98,Yes,1390,600 MHz Cortex-A8,"microSD, up to 32 GB (dedicated slot), 8 GB included",Yes,PowerVR SGX530,"512 MB, 256 MB RAM",,Motorola MILESTONE XT720,Android 2.1 (Eclair),About 190 EUR,"8 MP, autofocus, Xenon flash, check quality","480 x 854 pixels, 16:9 ratio (~265 ppi density)",Mini-SIM,No,"Accelerometer, proximity, compass",139 g (4.90 oz)
99,Yes,2000,1.0 GHz,"microSD, up to 32 GB",Yes,Mali-400,"4 GB, 512 MB RAM",,Celkon A518,Android 4.4.2 (KitKat),,"3.15 MP, LED flash","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Dual SIM,1.3 MP,Accelerometer,164 g (5.78 oz)
100,Yes,3240,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 305,"4 GB, 1 GB RAM",,alcatel POP 7S ,Android 4.4.2 (KitKat),About 190 EUR,3 MP,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Micro-SIM,VGA,,279 g (9.84 oz)
101,Yes,960,,"microSD, up to 16 GB (dedicated slot)",No,,45 MB,,Samsung B3410W Ch@t,,About 120 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Mini-SIM,No,,113.7 g (3.99 oz)
102,No,760,123 MHz ARM925T,"RS-MMC, 32 MB included",No,,6 MB,,Nokia 6260,"Symbian 7.0s, Series 60 v2.0 UI",,VGA,176 x 208 pixels (~130 ppi density),Mini-SIM,No,,125 g (4.41 oz)
103,Yes,1800,Dual-core 1.4 GHz Krait 200,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 305,"8 GB, 1 GB RAM",Yes,HTC 8XT,Microsoft Windows Phone 8,About 170 EUR,"8 MP (1.4 Âµm), autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Micro-SIM,1.6 MP,"Accelerometer, proximity, compass",120 g (4.23 oz)
104,Yes,2800,Octa-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-T720MP3,"16 GB, 2 GB RAM - Desire 72816 GB, 1.5 GB RAM - Desire 728G",,HTC Desire 728 dual sim,Android 5.1.1 (Lollipop),About 240 EUR,"13 MP (f/2.2, 28mm), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.8, 34mm), 1080p@30fps","Accelerometer, proximity, compass",153 g (5.40 oz)
105,No,1300,,"microSD, up to 32 GB (dedicated slot)",No,,38 MB,,Samsung C3350,,About 90 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,No,,110 g (3.88 oz)
106,No,800,,microSD (dedicated slot),No,,80 MB,,Samsung S730i,,,"2 MP, LED flash",176 x 220 pixels (~141 ppi density),Mini-SIM,No,,83 g (2.93 oz)
107,Yes,960,,"microSD, up to 16 GB (dedicated slot)",No,,120 MB,,Samsung M7500 Emporio Armani,,About 130 EUR,"3.15 MP, autofocus","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,Videocall camera,,90.2 g (3.21 oz)
108,Yes,2800,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 306,"8/16 GB, 1/2 GB RAM",Yes,Motorola Moto G4 Play,"Android 6.0.1 (Marshmallow), upgradable to 7.1.1 (Nougat)",About 130 EUR,"8 MP, f/2.2, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5 MP, f/2.2","Accelerometer, proximity",137 g (4.83 oz)
109,No,300,Dual-core 1.0 GHz Cortex-A7,No,Yes,Mali-400MP2,"4 GB, 768 MB RAM",Yes,Samsung Gear Sport,Tizen-based wearable platform 3.0,About 300 EUR,,"360 x 360 pixels, 1:1 ratio (~424 ppi density)",No,,"Accelerometer, gyro, heart rate, barometer",67g (w/ strap); 50g (w/Ð¾ strap) (1.76 oz)
110,Yes,1800,Dual-core 1.5 GHz Krait,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 225,"8 GB, 1 GB RAM",Yes,Nokia Lumia 810,"Microsoft Windows Phone 8, upgradeable to 8.1",About 250 EUR,"8 MP, Carl Zeiss optics, autofocus, dual-LED flash","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Micro-SIM,"1.2 MP, 720p@30fps","Accelerometer, gyro, proximity, compass",145 g (5.11 oz)
111,No,800,,No,No,,,,Samsung Serene,,,VGA,"320 x 240 pixels, 4:3 ratio",Mini-SIM,No,,110 g (3.88 oz)
112,No,500,78 MHz,No,No,,,,alcatel OT-217,,About 30 EUR,,"128 x 128 pixels, 1:1 ratio (~125 ppi density)",Mini-SIM,,,62 g (2.19 oz)
113,Yes,1200,,"microSD, up to 16 GB (dedicated slot)",No,,,,Celkon C7030,,,1.3 MP,"320 x 480 pixels, 3:2 ratio (~180 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",No,,95 g (3.35 oz)
114,Yes,1000,,"microSD, up to 16 GB (dedicated slot), 2 GB included",Yes,,70 MB,,Nokia 5330 XpressMusic,,About 120 EUR,"3.15 MP, enhanced fixed focus","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,113 g (3.99 oz)
115,Yes,2300,Dual-core 1.5 GHz Krait,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 225,"16/32 GB, 1 GB RAM",Yes,Samsung Ativ S I8750,"Microsoft Windows Phone 8, upgradeable to 8.1.1",About 220 EUR,"8 MP, autofocus, LED flash, check quality","720 x 1280 pixels, 16:9 ratio (~306 ppi density)",Micro-SIM,1.9 MP,"Accelerometer, gyro, proximity, compass",135 g (4.76 oz)
116,Yes,1200,264 MHz ARM 9,"microSD, up to 8 GB (dedicated slot)",Yes,,"4 GB, 128 MB RAM, 256 MB ROM",,Nokia 6788,"Symbian 9.3, S60 rel. 3.2",About 130 EUR,"5 MP, Carl Zeiss optics, autofocus, Dual-LED flash","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,VGA videocall camera,Accelerometer,158 g (5.57 oz)
117,No,1100,528 MHz ARM 11,microSD (dedicated slot),Yes,Adreno 130,"288 MB RAM, 512 MB ROM",,HTC Touch Diamond2,"Microsoft Windows Mobile 6.1 Professional, upgradeable to Windows Mobile 6.5",About 150 EUR,"5 MP, autofocus","480 x 800 pixels, 5:3 ratio (~292 ppi density)",Mini-SIM,VGA videocall camera,Accelerometer,117.5 g (4.13 oz)
118,Yes,5000,Octa-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB",Yes,Mali-T720MP3,"64 GB, 3 GB RAM",,BLU Energy XL,Android 5.1 (Lollipop),,"13 MP, f/2.2, phase detection autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",Dual SIM,5 MP,"Fingerprint (front-mounted), accelerometer, gyro, proximity",208 g (7.34 oz)
119,No,910,,microSD (dedicated slot),No,,50 MB,,Motorola KRZR K3,,About 80 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,VGA videocall camera,,110 g (3.88 oz)
120,No,700,,No,No,,5 MB,,Motorola V525,,,VGA,"176 x 220 pixels, 4 lines",Mini-SIM,No,,114 g (4.02 oz)
121,Yes,1420,528 MHz ARM 11,"microSD, up to 32 GB (dedicated slot), 2 GB included",Yes,Adreno 130,"1 GB, 256 MB RAM",,Motorola DEXT MB220,Android 1.5 (Cupcake),About 130 EUR,"5 MP, autofocus","320 x 480 pixels, 3:2 ratio (~186 ppi density)",Mini-SIM,No,"Accelerometer, proximity, compass",163 g (5.75 oz)
122,Yes,3050,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB (dedicated slot)",Yes,Mali-T720,"16 GB, 3 GB RAM",,Micromax Canvas 2 Q4310,Android 7.0 (Nougat),About 12000 INR,"13 MP, f/2.0, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)","5 MP, f/2.0","Fingerprint (front-mounted), accelerometer, proximity",160 g (5.64 oz)
123,No,850,104 MHz ARM 9,"MMC, 32 MB included",No,,6 MB,,Nokia 6600,"Symbian 7.0s, Series 60 v2.0 UI",,VGA,176 x 208 pixels (~130 ppi density),Mini-SIM,No,,122 g (4.30 oz)
124,No,1200,,"microSD, up to 8 GB (dedicated slot)",No,,30 MB,,Samsung B5722,,About 110 EUR,"3.15 MP, LED flash","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Dual SIM (Mini-SIM),No,,105 g (3.70 oz)
125,Yes,1000,,"microSD, up to 16 GB (dedicated slot)",No,,47 MB,,Samsung Ch@t 220,,About 40 EUR,VGA,220 x 176 pixels (~128 ppi density),Mini-SIM,No,,92 g (3.25 oz)
126,No,750,,No,No,,8 MB,,Samsung X500,,,,128 x 160 pixels (~114 ppi density),Mini-SIM,,,79 g (2.79 oz)
127,Yes,1020,,"microSD, up to 32 GB (dedicated slot)",No,,"10 MB, 64 MB ROM, 32 MB RAM",,Nokia X2-02,,About 60 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Dual SIM (Mini-SIM),No,,71 g (2.50 oz)
128,Yes,3500,Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53),"microSD, up to 256 GB (uses SIM 2 slot) - dual SIM model only",Yes,Mali-T880 MP12,"64 GB, 4 GB RAM",Yes,Samsung Galaxy Note7,Android 6.0.1 (Marshmallow),About 850 EUR,"12 MP (f/1.7, 26mm, 1/2.5"", 1.4 Âµm, Dual Pixel PDAF), phase detection autofocus, OIS, LED flash, check quality","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/1.7, 22mm), dual video call, Auto HDR","Iris scanner, fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",169 g (5.96 oz)
129,No,600,,No,No,,,,Motorola Timeport 250,,,,"98 x 64 pixels, 5 lines, 3:2 ratio",Mini-SIM,,,97 g (3.42 oz)
130,Yes,3700,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 64 GB",Yes,Adreno 306,"16 GB, 1 GB RAM",,BLU Studio 7.0 LTE,Android 5.1 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~210 ppi density)",Dual SIM,2 MP,"Accelerometer, proximity, compass",266 g (9.38 oz)
131,No,,,"microSD, up to 8 GB (dedicated slot)",No,,20 MB,,Samsung S3110,,About 70 EUR,1.3 MP,176 x 220 pixels (~141 ppi density),Mini-SIM,No,,77 g (2.72 oz)
132,Yes,950,Freescale 500 MHz,"microSD, up to 4 GB (dedicated slot)",No,,350 MB,,Motorola ZN5,Linux / Java-based MOTOMAGX,About 100 EUR,"5 MP, autofocus, xenon flash","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,114 g (4.02 oz)
133,Yes,,,"microSD, up to 16 GB (dedicated slot)",Yes,,512 MB,,Samsung A927 Flight II,,About 110 EUR,2 MP,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Mini-SIM,No,,99 g (3.49 oz)
134,No,,,No,No,,,,Motorola C332,,,,"98 x 64 pixels, 5 lines, 3:2 ratio",Mini-SIM,,,84 g (2.96 oz)
135,No,650,,No,No,,4 MB,,alcatel OT-C560,,,VGA,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,85 g (3.00 oz)
136,No,880,,No,No,,140 MB,,Samsung Z540,,,1.3 MP,"240 x 320 pixels, 4:3 ratio",Mini-SIM,VGA videocall camera,,105 g (3.70 oz)
137,Yes,2000,Dual-core 1.2 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX531u,"4 GB, 1 GB RAM",Yes,Motorola RAZR D3 XT919,"Android 4.1 (Jelly Bean), upgradable to 4.4.2 (KitKat)",About 230 EUR,"8 MP, autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Single SIM or Dual SIM (dual stand-by),1.2 MP,"Accelerometer, proximity, compass",120 g (4.23 oz)
138,Yes,,330 MHz,microSD (dedicated slot),No,,"128 MB RAM, 256 MB ROM",,Nokia N800 ,Internet Tablet OS 2007 edition,,Yes,"480 x 800 pixels, 5:3 ratio (~226 ppi density)",No,No,,206 g (7.27 oz)
139,No,750,,No,No,,1 MB,,Motorola C550,,,VGA,"101 x 80 pixels, 5 lines",Mini-SIM,No,,94 g (3.32 oz)
140,,1000,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C201,,,1.3 MP,128 x 160 pixels (~114 ppi density),Dual SIM (Mini-SIM),No,,87 g (3.07 oz)
141,Yes,3150,Octa-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)",Yes,Mali-T720MP3,"32 GB, 3 GB RAM",,BLU Vivo 5R,Android 6.0 (Marshmallow),,"13 MP (f/2.0, 1/3"", 1.12 Âµm), phase detection autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","8 MP, LED flash","Fingerprint (rear-mounted), accelerometer, proximity",166 g (5.86 oz)
142,No,800,,No,No,,,,Nokia 1800,,About 30 EUR,,128 x 160 pixels (~114 ppi density),Mini-SIM,,,78.5 g (2.75 oz)
143,Yes,9000,Dual-core 1.7 GHz Cortex-A15,No,Yes,Mali-T604 MP4,"16/32 GB, 2 GB RAM",Yes,Samsung Google Nexus 10 P8110 ,"Android 4.2 (Jelly Bean), upgradable to 5.1 (Lollipop)",About 260 EUR,"5 MP, autofocus, LED flash, check quality","2560 x 1600 pixels, 16:10 ratio (~299 ppi density)",No,1.9 MP,"Accelerometer, gyro, proximity, compass, barometer",603 g (1.33 lb)
144,Yes,6800,Dual-core 1.6 GHz,"microSD, up to 64 GB (dedicated slot)",Yes,PowerVR SGX544MP2,"16/32 GB, 1 GB RAM",,Samsung Galaxy Tab 3 10.1 P5220 ,Android 4.2.2 (Jelly Bean),About 290 EUR,"3.15 MP, check quality","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Micro-SIM,1.3 MP,"Accelerometer, compass",510 g (1.12 lb)
145,Yes,850,245 MHz,"microSD, up to 32 GB (dedicated slot)",No,,50 MB,,alcatel OT-905,,,2 MP,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,No,,96.4 g (3.39 oz)
146,No,750,,"microSD, up to 2 GB (dedicated slot)",No,,10 MB,,alcatel Miss Sixty 2009,,,1.3 MP,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,85 g (3.00 oz)
147,No,450,,No,No,,,,Micromax X100,,About 10 EUR,,"128 x 128 pixels, 1:1 ratio (~124 ppi density)",Mini-SIM,,,61 g (2.15 oz)
148,No,800,,microSD (dedicated slot),No,,60 MB,,Samsung D900,,About 130 EUR,"3.15 MP, autofocus, LED flash","240 x 320 pixels, 4:3 ratio (~190 ppi density)",Mini-SIM,No,,85 g (3.00 oz)
149,No,970,220 MHz Dual ARM 9,"microSD, up to 2 GB (dedicated slot), 128 MB included",No,,10 MB,,Nokia N71,"Symbian, Series 60 UI",About 270 EUR,"2 MP, LED flash","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,VGA videocall camera,,139 g (4.90 oz)
150,Yes,1500,1.0 GHz,"microSD, up to 32 GB (dedicated slot)",No,Mali-300,"512 MB, 256 MB RAM",,Micromax A36 Bolt,Android 2.3 (Gingerbread),About 50 EUR,2 MP,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual SIM (Mini-SIM),VGA,,-
151,Yes,7000,Dual-core 1.5 GHz Krait,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 225,"8/16 GB, 1 GB RAM",,Samsung Galaxy Tab 2 10.1 CDMA ,Android 4.0 (Ice Cream Sandwich),,3.15 MP,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Yes,VGA,"Accelerometer, gyro, compass",581.2 g (1.28 lb)
152,No,750,,No,No,,1.2 MB,,Samsung C240,,,,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",Mini-SIM,,,68 g (2.40 oz)
153,No,1170,Freescale ARM 7 LTE,"microSD, up to 16 GB (dedicated slot)",Yes,,"64 MB RAM, 128 MB Flash",,Motorola Q 11,Microsoft Windows Mobile 6.1 Standard,About 150 EUR,"3.15 MP, LED flash","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,115 g (4.06 oz)
154,No,800,,"microSD, up to 8 GB (dedicated slot)",No,,15 MB,,Samsung C3050 Stratus,,About 60 EUR,VGA,"120 x 160 pixels, 4:3 ratio (~100 ppi density)",Mini-SIM,No,,86 g (3.03 oz)
155,Yes,2000,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"8 GB, 1 GB RAM",,BLU Dash X,Android 5.1 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, proximity",148 g (5.22 oz)
156,Yes,4000,Quad-core 1.5 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-400MP2,"8 GB, 1.5 GB RAM",,Samsung Galaxy J Max,Android 5.1 (Lollipop),About 220 EUR,"8 MP, f/1.9, autofocus, LED flash","800 x 1280 pixels, 16:10 ratio (~216 ppi density)","Dual SIM (Nano-SIM, dual stand-by)","2 MP, f/2.2",Accelerometer,289 g (10.19 oz)
157,Yes,1300,1.0 GHz ARM11 (1.3GHz after update),"microSD, up to 32 GB (dedicated slot)",Yes,,"8 GB, 512 MB RAM, 1 GB ROM",Yes,Nokia 701,"Symbian Belle, upgradeable to Belle FP1",About 150 EUR,"8 MP, fixed focus, dual-LED flash, check quality","360 x 640 pixels, 16:9 ratio (~210 ppi density)",Mini-SIM,VGA,"Accelerometer, proximity, compass",131 g (4.62 oz)
158,No,,,No,No,,10 MB,,Motorola W377,,About 70 EUR,VGA,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,95 g (3.35 oz)
159,No,,32-bit Intel XScale PXA272 416 MHz,microSD (dedicated slot),No,,"8 GB (microdrive), 64 MB RAM",,Samsung i310,Microsoft Windows Mobile 5.0 Smartphone,,"2 MP, LED flash","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,120 g (4.23 oz)
160,Yes,1450,Quad-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,"4 GB, 512 MB RAM",,alcatel Pixi First,Android 4.4.2 (KitKat),,"5 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",2 MP,Yes,-
161,No,,,microSD (dedicated slot),No,,18 MB,,Samsung J800 Luxe,,About 120 EUR,2 MP,176 x 220 pixels (~128 ppi density),Mini-SIM,Yes,,
162,Yes,4600,Quad-core 1.6 GHz Cortex-A9,"microSD, up to 64 GB (dedicated slot)",Yes,Mali-400MP4,"16/32 GB, 2 GB RAM",,Samsung Galaxy Note 8.0 Wi-Fi ,"Android 4.1.2 (Jelly Bean), upgradable to 4.4 (KitKat)",About 280 EUR,"5 MP, autofocus, check quality","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",No,1.3 MP,"Accelerometer, gyro, proximity, compass",338 g (11.92 oz)
163,Yes,1500,Dual-core 1.0 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,,,Celkon A200,Android 4.0 (Ice Cream Sandwich),About 120 EUR,5 MP,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Dual SIM (Mini-SIM),Yes,"Accelerometer, proximity",147 g (5.19 oz)
164,Yes,2000,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX544,"4 GB (1.77 GB user available), 1 GB RAM",,Micromax A116 Canvas HD,"Android 4.1.2 (Jelly Bean), planned upgrade to 4.2,1 (Jelly Bean)",About 230 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,"2 MP, 320p","Accelerometer, gyro, proximity",156 g (5.50 oz)
165,Yes,1020,,"microSD, up to 16 GB (dedicated slot)",No,,"43 MB, 64 MB RAM, 128 MB ROM",,Nokia C2-01,,About 70 EUR,"3.15 MP, check quality","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,89 g (3.14 oz)
166,No,480,,No,No,,32 MB,,Micromax X111,,About 20 EUR,,"128 x 128 pixels, 1:1 ratio (~129 ppi density)",Mini-SIM,,,69 g (2.43 oz)
167,Yes,1130,600 MHz Cortex-A8,"microSD, up to 32 GB (dedicated slot), 2 GB included",Yes,PowerVR SGX530,512 MB RAM; 512 MB,,Motorola CHARM,Android 2.1 (Eclair),About 150 EUR,3.15 MP,"320 x 240 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,No,"Accelerometer, proximity, compass",110 g (3.88 oz)
168,Yes,1650,,"microSD, up to 64 GB (dedicated slot)",No,,"32 MB ROM, 24 MB RAM",,BLU Tank Xtreme 2.4,,,"VGA, LED flash","240 x 320 pixels, 4:3 ratio (~167 ppi density)","Dual SIM, (Micro-SIM)",No,,139 g (4.90 oz)
169,No,650,,No,No,,,,Nokia 8210,,,,5 lines,Mini-SIM,,,79 g (2.79 oz)
170,Yes,1500,528 MHz ARM 11,"microSD, up to 16 GB (dedicated slot)",Yes,Adreno 130,"288 MB RAM, 512 MB ROM",,HTC Touch Diamond2 CDMA,Microsoft Windows Mobile 6.5 Professional,About 150 EUR,"5 MP, autofocus","480 x 800 pixels, 5:3 ratio (~259 ppi density)",Mini-SIM,Yes,Accelerometer,150.3 g (5.29 oz)
171,Yes,2100,Octa-core 1.7 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Mali-450MP4,"8 GB, 1 GB RAM",,HTC Desire 620G dual sim,Android 4.4.4 (KitKat),About 190 EUR,"8 MP, f/2.4, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)","5 MP, 1080p","Accelerometer, proximity",160 g (5.64 oz)
172,Yes,1500,1.0 GHz Cortex-A8,No,Yes,PowerVR SGX540,"16 GB, 512 MB RAM",Yes,Samsung Google Nexus S,"Android 2.3 (Gingerbread), 4.1.2 (Jelly Bean), not upgradable to 4.2 (Jelly Bean)",About 170 EUR,"5 MP, autofocus, LED flash, check quality","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Mini-SIM,VGA,"Accelerometer, gyro, proximity, compass",129 g (4.55 oz)
173,Yes,880,,microSD (dedicated slot),No,,1 GB,,Samsung R520 Trill,,About 100 EUR,1.3 MP,176 x 220 pixels (~128 ppi density),Mini-SIM,No,,97 g (3.42 oz)
174,No,800,,No,No,,2 MB,,Samsung C450,,About 60 EUR,VGA,"128 x 128 pixels, 1:1 ratio (~119 ppi density)",Mini-SIM,No,,72 g (2.54 oz)
175,Yes,1000,,"microSD, up to 16 GB (dedicated slot)",No,,,,Micromax Q50,,About 40 EUR,2 MP,"320 x 240 pixels, 4:3 ratio (~182 ppi density)",Dual SIM (Mini-SIM),No,,96 g (3.39 oz)
176,Yes,2390,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 305,"8 GB, 1 GB RAM",,Motorola Moto G 4G ,Android 5.0.2 (Lollipop),About 210 EUR,"8 MP, f/2.0, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Micro-SIM,2 MP,"Accelerometer, gyro, proximity, compass",155 g (5.47 oz)
177,No,960,,"microSD, up to 2 GB (dedicated slot)",No,,72 MB,,Samsung F275,,About 110 EUR,2 MP,176 x 220 pixels (~128 ppi density),Mini-SIM,No,,99 g (3.49 oz)
178,Yes,1800,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C9 Star,,About 20 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,-
179,No,700,,"microSD, up to 1 GB (dedicated slot)",No,,12 MB,,alcatel ELLE No 3,,About 120 EUR,1.3 MP,176 x 220 pixels (~148 ppi density),Mini-SIM,No,,99 g (3.49 oz)
180,No,920,,No,No,,,,Motorola V171,,,,"96 x 64 pixels, 3 lines, 3:2 ratio",Mini-SIM,,,83 g (2.93 oz)
181,Yes,820,,"microSD, up to 32 GB (dedicated slot)",No,,"32 MB ROM, 32 MB RAM",,BLU Samba TV,,About 20 EUR,VGA,176 x 220 pixels (~141 ppi density),Dual SIM (Mini-SIM),No,,80 g (2.82 oz)
182,No,800,,No,No,,,,Samsung E1050,,About 20 EUR,,"128 x 128 pixels, 1:1 ratio (~127 ppi density)",Mini-SIM,,,67.3 g (2.36 oz)
183,No,1000,,"microSD, up to 32 GB (dedicated slot)",Yes,,190 MB,,Samsung A697 Sunburst,,About 120 EUR,2 MP,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Mini-SIM,No,Accelerometer,87.3 g (3.07 oz)
184,No,900,220 MHz ARM926EJ-S,"RS-DV-MMC, 64 MB included",No,,8 MB,,Nokia 6681,"Symbian OS 8.0a, Series 60 2nd Edition",,"1.3 MP, LED flash",176 x 208 pixels (~130 ppi density),Mini-SIM,No,,131 g (4.62 oz)
185,No,850,,No,No,,,,Nokia 1101,,About 40 EUR,,"96 x 65 pixels, 4 lines, 3:2 ratio",Mini-SIM,,,86 g (3.03 oz)
